ID	Kingdom	Phylum	Fungal_Class	Order	Family	Genus
Flammula_alnicola	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Flammula
Fomitiporia_mediterranea	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Fomitiporia
Fomitopsis_pinicola	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae	Fomitopsis
Fomitopsis_rosea	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae	Fomitopsis
Fonsecaea_erecta	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Fonsecaea
Fonsecaea_monophora	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Fonsecaea
Fonsecaea_multimorphosa	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Fonsecaea
Fonsecaea_nubica	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Fonsecaea
Fonsecaea_pedrosoi	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Fonsecaea
Friedmanniomyces_endolithicus	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Friedmanniomyces
Friedmanniomyces_simplex	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Friedmanniomyces
Funneliformis_mosseae	Fungi	Mucoromycota	Glomeromycetes	Glomerales	Glomeraceae	Funneliformis
Fusarium_agapanthi	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
Fusarium_albosuccineum	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
Fusarium_ambrosium	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
Fusarium_anthophilum	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
Fusarium_austroafricanum	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
Fusarium_austroamericanum	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
Fusarium_avenaceum	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
Fusarium_beomiforme	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
Fusarium_bulbicola	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
Fusarium_circinatum	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
Fusarium_coffeatum	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
Fusarium_coicis	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
Fusarium_culmorum	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
Fusarium_decemcellulare	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
Fusarium_denticulatum	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
Fusarium_equiseti	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
Fusarium_euwallaceae	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
Fusarium_flagelliforme	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
Fusarium_floridanum	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
Fusarium_fujikuroi	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
Fusarium_gaditjirri	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
Fusarium_globosum	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
Fusarium_graminearum	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
Fusarium_graminum	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
Fusarium_heterosporum	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
Fusarium_kuroshium	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
Fusarium_langsethiae	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
Fusarium_longipes	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
Fusarium_mangiferae	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
Fusarium_mexicanum	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
Fusarium_mundagurra	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
Fusarium_musae	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
Fusarium_napiforme	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
Fusarium_nygamai	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
Fusarium_odoratissimum	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
Fusarium_oxysporum	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
